12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com,Current,8126.85,9/13/2005,10/16/2025,12,10/4/2025,Deposit,4865.91,12992.76,25,12,9182.1,Auto,5.73,48,7/29/2020,Approved,12,AMEX,5697.31,4935.07,246.75,11/17/2023,12/28/2023,3488,12,8/24/2023,Complaint,Pending,5/3/2023,1
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com,Savings,5402.04,11/13/2010,11/21/2023,13,8/2/2025,Deposit,3070.58,8472.62,94,13,45385.59,Auto,6.96,36,9/20/2021,Approved,13,Visa,5776.68,339.59,16.98,7/17/2023,1/13/2023,2102,13,2/22/2023,Praise,Resolved,1/13/2023,1
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com,Savings,4045.09,8/14/2014,12/29/2023,14,10/27/2023,Transfer,381.21,4426.3,30,14,32735.99,Auto,7.71,48,12/21/2022,Approved,14,Visa,3018.46,4357.95,217.9,5/28/2023,9/29/2023,4833,14,11/16/2023,Praise,Resolved,5/5/2023,1
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com,Savings,2082.67,9/16/2015,6/24/2025,15,6/13/2023,Withdrawal,2631.77,-549.1,77,15,9833.19,Mortgage,3.7,36,12/6/2022,Closed,15,AMEX,2345.93,1066.61,53.33,12/28/2023,5/23/2023,4769,15,10/26/2023,Suggestion,Pending,9/23/2023,1
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com,Savings,8578.44,10/2/2016,12/20/2025,16,10/23/2023,Transfer,4486.73,13065.17,31,16,28429.81,Mortgage,3.68,24,12/11/2021,Approved,16,Visa,2673.1,770.74,38.54,2/2/2023,1/3/2023,7000,16,11/25/2023,Complaint,Pending,5/23/2023,1
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com,Current,728.8,7/7/2006,12/18/2023,17,11/15/2023,Transfer,2086.75,2815.55,96,17,17080.03,Auto,3.38,36,12/15/2022,Rejected,17,AMEX,2838.82,3905.1,195.26,4/20/2023,10/19/2023,2437,17,5/31/2023,Suggestion,Pending,5/1/2023,1
18,Mary,Wilson,45,Female,Address_18,Omaha,19458794871,mary.wilson@kag.com,Savings,9012.31,8/12/2019,3/30/2023,18,9/12/2023,Deposit,3333.99,5678.32,36,18,8211.92,Auto,2.51,12,2/23/2022,Closed,18,MasterCard,8388.99,3165.21,158.26,8/10/2023,11/12/2023,5109,18,2/23/2023,Praise,Resolved,6/3/2023,1
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com,Current,2129.63,8/18/2005,2/28/2023,19,11/15/2023,Withdrawal,3868.23,-1738.6,41,19,9911.6,Personal,3.74,12,6/5/2022,Rejected,19,AMEX,9371.27,299.03,14.95,5/12/2023,9/10/2023,8681,19,7/19/2023,Praise,Resolved,3/7/2023,1
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,19458794873,amanda.campbell@kag.com,Savings,194.36,4/24/2017,3/2/2023,20,9/30/2023,Deposit,933.29,-738.93,61,20,28403.6,Mortgage,9.58,48,1/27/2021,Closed,20,MasterCard,7650.68,1076.46,53.82,5/24/2023,1/21/2023,3441,20,4/22/2023,Praise,Pending,10/4/2023,1
21,Ashley,Scott,59,Other,Address_21,Fresno,19458794874,ashley.scott@kag.com,Savings,1128.58,10/29/2016,8/30/2025,21,2/7/2023,Withdrawal,4278.95,-3150.37,29,21,28654.88,Personal,1.77,12,7/26/2020,Closed,21,MasterCard,1374.25,3559.98,178,1/31/2023,8/31/2023,1213,21,11/20/2023,Complaint,Pending,9/7/2023,1
22,Donna,King,69,Female,Address_22,San Antonio,19458794875,donna.king@kag.com,Current,8846.74,1/1/2005,10/10/2025,22,7/1/2023,Transfer,2249.62,11096.36,34,22,39707.1,Personal,3.17,48,10/28/2021,Rejected,22,MasterCard,6394.78,53.5,2.68,9/23/2023,12/5/2023,4035,22,8/7/2023,Complaint,Pending,12/10/2023,-1
23,Mary,Rodriguez,22,Other,Address_23,El Paso,19458794876,mary.rodriguez@kag.com,Savings,829.7,9/2/2011,8/13/2025,23,7/6/2023,Deposit,292.88,536.82,19,23,13151.23,Mortgage,3.86,60,2/20/2022,Closed,23,Visa,8026.74,1424.94,71.25,11/17/2023,3/17/2023,1533,23,2/20/2023,Complaint,Resolved,10/4/2023,1
24,Charles,Adams,30,Female,Address_24,San Antonio,19458794877,charles.adams@kag.com,Savings,3616.88,10/7/2014,8/10/2023,24,1/25/2023,Deposit,4395.73,8012.61,90,24,45875.84,Personal,2.38,60,3/7/2022,Rejected,24,AMEX,5693.7,2256.35,112.82,5/7/2023,6/3/2023,6245,24,10/4/2023,Suggestion,Resolved,12/10/2023,1
25,Steven,Ramirez,29,Male,Address_25,Boston,19458794878,steven.ramirez@kag.com,Savings,2578.13,6/4/2004,3/31/2023,25,11/29/2023,Transfer,2826.12,5404.25,5,25,26412.03,Mortgage,1.7,48,5/18/2020,Rejected,25,AMEX,1720.05,4563.01,228.15,5/29/2023,11/18/2023,6588,25,1/22/2023,Praise,Resolved,3/1/2023,1
26,Barbara,Hernandez,18,Female,Address_26,Chicago,19458794879,barbara.hernandez@kag.com,Current,464.86,10/1/2022,1/15/2023,26,5/22/2023,Transfer,999.63,1464.49,20,26,11004.46,Personal,2.46,48,11/3/2022,Approved,26,Visa,5608.25,4251.87,212.59,6/5/2023,11/8/2023,5749,26,2/17/2023,Complaint,Pending,4/14/2023,1
27,Lisa,Wilson,69,Male,Address_27,Kansas City,19458794880,lisa.wilson@kag.com,Savings,5361.52,7/27/2006,12/31/2023,27,5/4/2023,Withdrawal,1594.08,3767.44,78,27,21250.75,Personal,5.75,48,4/19/2021,Approved,27,AMEX,6736.21,1084.56,54.23,1/21/2023,7/4/2023,1470,27,12/15/2023,Suggestion,Pending,8/20/2023,1
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,19458794881,amanda.hill@kag.com,Savings,9983.5,8/10/2018,7/4/2025,28,1/25/2023,Deposit,2851.17,12834.67,29,28,46244.6,Mortgage,6.37,36,10/23/2022,Approved,28,AMEX,6126.15,1530.42,76.52,11/16/2023,7/31/2023,2965,28,12/21/2023,Complaint,Pending,2/23/2023,1
29,Matthew,Campbell,36,Male,Address_29,Fresno,19458794882,matthew.campbell@kag.com,Savings,8544.77,11/12/2000,7/23/2023,29,10/18/2023,Transfer,1877.13,6667.64,3,29,24429.67,Auto,2.94,12,2/20/2022,Rejected,29,AMEX,7494.66,2591.92,129.6,9/20/2023,6/6/2023,2963,29,1/23/2023,Suggestion,Pending,6/10/2023,1
30,Ronald,Jackson,46,Female,Address_30,Baltimore,19458794883,ronald.jackson@kag.com,Current,1772.04,2/12/2015,2/10/2023,30,12/1/2023,Withdrawal,1174.58,597.46,84,30,43861.04,Auto,5.53,36,2/23/2022,Closed,30,Visa,3404.77,2181.1,109.06,2/18/2023,12/14/2023,8656,30,1/6/2023,Suggestion,Resolved,9/12/2023,1
31,Anthony,Anderson,64,Female,Address_31,San Francisco,19458794884,anthony.anderson@kag.com,Current,8854.73,9/15/2004,6/20/2023,31,6/24/2023,Withdrawal,2401.76,11256.49,25,31,8831.8,Auto,1.06,36,12/21/2021,Approved,31,AMEX,7278.03,3846.45,192.32,5/27/2023,6/11/2023,3298,31,5/12/2023,Praise,Pending,6/5/2023,1
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,19458794885,carol.ramirez@kag.com,Current,4572.76,5/4/2010,9/25/2025,32,8/20/2023,Transfer,933.38,5506.14,69,32,45783.96,Auto,6.42,36,5/15/2022,Closed,32,Visa,3997.31,4756.24,237.81,1/3/2023,2/27/2023,6208,32,8/16/2023,Praise,Resolved,8/25/2023,1
33,Betty,White,65,Female,Address_33,Sacramento,19458794886,betty.white@kag.com,Current,2805.18,7/30/2003,7/15/2023,33,5/25/2023,Deposit,1234.44,1570.74,55,33,22100.32,Mortgage,1.01,60,8/21/2021,Closed,33,MasterCard,7417.07,3107.77,155.39,3/27/2023,10/22/2023,2387,33,5/9/2023,Complaint,Resolved,7/25/2023,1
34,Jessica,Davis,56,Other,Address_34,Oklahoma City,19458794887,jessica.davis@kag.com,Savings,6439.03,8/23/2005,9/7/2025,34,12/11/2023,Transfer,4135.4,10574.43,56,34,46870.22,Personal,6.78,60,9/2/2020,Rejected,34,Visa,5395.87,560.7,28.04,9/23/2023,5/11/2023,4561,34,7/22/2023,Complaint,Resolved,2/11/2023,1
35,Joseph,Nelson,59,Female,Address_35,Seattle,19458794888,joseph.nelson@kag.com,Current,2245.28,1/5/2002,7/14/2025,35,1/23/2023,Transfer,1150.42,3395.7,29,35,43437.85,Mortgage,5.35,36,3/10/2022,Closed,35,AMEX,8046.16,2208.16,110.41,7/30/2023,9/4/2023,2971,35,6/26/2023,Praise,Resolved,1/29/2023,1
36,Timothy,Rodriguez,42,Female,Address_36,Portland,19458794889,timothy.rodriguez@kag.com,Current,8808.55,7/8/2009,8/18/2025,36,8/12/2023,Withdrawal,3479.88,12288.43,41,36,33338.35,Mortgage,1.98,24,2/10/2021,Rejected,36,Visa,5522.52,2735.81,136.79,5/31/2023,10/18/2023,6543,36,1/17/2023,Complaint,Pending,11/14/2023,1
